mode,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,
1,63353.426598398,121.492570010895,7943.17731106816,-140.442471395237,7437.31643284366,55.0351173641795,9.15348908286624,8.89759465437105,-8.36773817244634,7437.31643284366,-1014.63208642351,-43.4220861668866,0,
1,63356.9865983974,120.994087247277,7943.50754613761,-140.421415257811,8929.45513605371,55.2534039075704,8.94196018505371,30.5798040896156,-1.39682591914139,8929.45513605371,-2762.98097367974,-10.8354279965708,0,
1,63360.5865983968,120.488765451281,7943.9279165579,-140.412782062839,8900.83966338403,55.473845022441,8.72582069812076,31.8411238401974,1.43361704587309,8900.83966338403,-42.9003450526779,-10.8699061093302,0,
1,63364.1665983963,119.985849892961,7944.3995826587,-140.522873443352,8874.82506591585,55.6927614951414,8.50861015282239,30.9973084450558,0.843106121963489,8874.82506591585,-43.4057480804058,-10.9013661198916,0,
1,63367.7865983957,119.476909629811,7944.87667879929,-140.616156309389,8846.20841393706,55.9138166733979,8.28663381732511,30.3801429851921,-9.0344510260806,8846.20841393706,-41.9001040317344,-10.9374436428202,0,
1,63371.3465983951,118.975967400037,7945.33841092325,-140.736375557152,8820.19276787891,56.1308977191312,8.06599604684633,30.1029708940859,-21.2187079599125,8820.19276787891,-41.966444093785,-10.9693154856427,0,
1,63374.9465983945,118.468983994374,7945.80260973525,-140.802468982708,8791.5749402392,56.3500965801333,7.84047041662875,30.0125184932368,-30.9394025835681,8791.5749402392,-41.9919269536094,-11.004989933832,0,
1,63378.406598394,117.98133043185,7946.25156201543,-140.920177021596,8765.5582650125,56.560460427269,7.62139336368166,29.9957777540466,-40.620796000187,8765.5582650125,7.90141558079995,-11.0372337935005,55.1323756361003,
1,63381.8465983934,117.496137447759,7946.69044254401,-140.972415099969,8739.54115985059,56.7693000674638,7.40128609371543,29.9668171515831,-51.5394227134034,8739.54115985059,12.5799843127043,-11.0703851171082,55.3105354900534,
1,63385.2065983929,117.021896932997,7947.1446623368,-141.263522898494,8713.52362463222,56.9729787446743,7.18404413399621,29.9718506923646,-57.9954036978961,8713.52362463222,60.8439713350144,-11.102481368187,56.183770017899,
1,63388.5065983924,116.555845325293,7947.57780071903,-141.298621404858,8687.50559483337,57.1727212680332,6.9684738207604,29.9589921870693,-51.2375795405195,8687.50559483337,99.4784257751962,-11.136048330323,57.5940290944091,
1,63391.7065983919,116.10362951737,7948.00638055752,-141.294923475913,8664.08913263081,57.3661255695701,6.75732217830154,29.9303973827865,-56.3317803602837,8664.08913263081,190.727423147999,-11.1671309106941,60.3069859860065,
1,63395.2465983913,115.603072906557,7948.47952960947,-141.421103852026,8635.4686167386,57.579742239507,6.52126009215911,29.935705505947,-59.4275282841391,8635.4686167386,0.925014452521282,-11.2040504813288,60.2390544800779,
1,63398.6065983908,115.127685705365,7948.92429877906,-141.601976681585,8609.44963382951,57.7821624657791,6.29475335772494,29.9971838786361,-59.1258464094294,8609.44963382951,63.7636395477675,-11.2377928537285,61.159798391383,
1,63402.1065983902,114.632205227409,7949.36910608041,-141.601158140637,8583.43039944792,57.9926627604373,6.05622843959542,29.9511563702375,-56.2924165783496,8583.43039944792,-75.9381475177179,-11.2727210344219,60.0367921316687,
1,63405.4265983897,114.161943865236,7949.79267650379,-141.684849406569,8557.41101043969,58.1919968388834,5.82749660160415,29.9234055359057,-56.4640711738932,8557.41101043969,93.114035666651,-11.3075560699844,61.4163102701686,
1,63408.9265983891,113.66592195574,7950.23181453814,-141.760243428936,8531.39149468097,58.401770840296,5.58370702797068,30.0122527690627,-56.4444227648839,8531.39149468097,-51.9807004023587,-11.3426572101958,60.6260396300131,
1,63412.2465983886,113.195168909693,7950.64551253997,-141.828858930393,8505.37190451003,58.6004003182481,5.34989022031393,30.0475956568649,-56.4236487945891,8505.37190451003,42.2681720056789,-11.3780342718665,61.2601213760071,
1,63415.766598388,112.695812800596,7951.08152201172,-141.898568527735,8479.35228079382,58.8106082805879,5.0992109414338,30.0500742597494,-56.4180327927428,8479.35228079382,-28.7777421726587,-11.4137017488261,60.8267847366515,
1,63419.1865983875,112.210413551503,7951.50146725986,-141.963183508089,8453.33267223087,59.0144543404919,4.85286595212911,30.0370128422274,-56.4163018180267,8453.33267223087,18.4732675199739,-11.4496501091302,61.1061346089926,
1,63422.7465983869,111.704916653547,7951.93489415239,-142.026663647546,8424.7111724072,59.2262273307825,4.59346427524653,30.0303575170338,-56.4169155588504,8424.7111724072,-2.37494226516537,-11.4895239637838,61.0640514300818,
1,63426.2865983863,111.202042999431,7952.36109371514,-142.085463572287,8398.69174367396,59.4363784377102,4.33245729473292,30.0241236587062,-56.4129454658934,8398.69174367396,5.85536310517637,-11.5260667712808,61.1495139310846,
1,63429.7865983858,110.704652709831,7952.7783282607,-142.140222762633,8372.67247827972,59.643721510169,4.0713404744413,30.0201159402807,-56.4073014675616,8372.67247827972,2.44532268672992,-11.5628938260031,61.1822953064748,
1,63433.3465983852,110.198547370411,7953.19743677314,-142.192030976943,8344.05153710129,59.8541666254366,3.80256802348585,30.0159355953739,-56.4078565024809,8344.05153710129,-10.0591782453066,-11.6037276952981,61.0361682936956,
1,63436.8465983846,109.700801390542,7953.60348025158,-142.237312313339,8318.03278516403,60.0606098044713,3.53514068797638,30.0142577371465,-56.3954813599392,8318.03278516403,11.9636788863991,-11.6411472802695,61.2130445383617,
