mode    time    alt    speed    hdot    range    lat    long    pitch    roll    tgt_range    range_err    az_err    roll_ref    
1    2413392.48059555    130.224164955677    7445.401674887    -90.297085299539    6592.20666742964    -6.77511868664722    -129.743943785885    118.945374703414    -165.431069770401    6592.20666742964    2417.41529600591    4.9912196721961    0    
1    2413396.70059555    129.84212588337    7445.88913096177    -90.7774690598048    6561.53768953067    -6.58148180950567    -129.544655641159    118.667319924006    -165.453261659273    6561.53768953067    2386.46629672124    5.0097371144295    0    
1    2413400.86059556    129.463538011414    7446.36617260504    -91.2468620247855    6530.72043869193    -6.39140278489596    -129.349285560438    118.401291059472    -165.479971326961    6530.72043869193    2215.68008483302    5.02842479891751    0    
1    2413404.84059556    129.099498491456    7446.82564620869    -91.6962849523507    6500.6271798314    -6.20856670568146    -129.161592275724    118.145089146742    -165.508582624125    6500.6271798314    1769.51464186345    5.04676090291052    0    
1    2413408.74059556    128.741045102783    7447.27641659526    -92.1348179322204    6471.6943015584    -6.02930991825667    -128.977787599351    117.894473385666    -165.540777928956    6471.6943015584    1588.47218709762    5.06447304013615    0    
1    2413412.62059557    128.38273365864    7447.7288801639    -92.570417978008    6443.34047098043    -5.85088040106696    -128.795035308254    117.66113444357    -165.584221773041    6443.34047098043    1522.49006531    5.08191130896825    0    
1    2413416.56059557    128.017153724053    7448.18576586927    -93.010751656416    6415.12956376258    -5.66959991494382    -128.609564863423    117.43464308855    -165.631919845691    6415.12956376258    1618.78868714798    5.0993687113434    0    
1    2413420.58059557    127.642370209161    7448.65441545704    -93.458334041921    6386.47986740564    -5.48454560751459    -128.420436378345    117.180567845627    -165.666347746273    6386.47986740564    1773.83227477366    5.11713096402414    0    
1    2413424.64059558    127.262036069771    7449.12864002752    -93.9076557312812    6357.2458131752    -5.2975569919825    -128.229532074395    116.915231560719    -165.689778577863    6357.2458131752    1889.18744694862    5.13537353766407    0    
1    2413428.80059558    126.870441177911    7449.61354097308    -94.365562222855    6327.7181621133    -5.10586837234313    -128.034031508501    116.647167034744    -165.718687089433    6327.7181621133    2169.82123129629    5.15392625029334    0    
1    2413432.96059559    126.476939842563    7450.10148474703    -94.8234688835373    6297.46040163383    -4.91408677349254    -127.838633186163    116.38055511657    -165.754749058621    6297.46040163383    2136.43061425044    5.17302984898751    0    
1    2413437.18059559    126.075825213017    7450.59632423506    -95.2866860424103    6267.34526350035    -4.71944677319788    -127.640516092188    116.100524821818    -165.798447251264    6267.34526350035    2371.88531525233    5.19213036341393    0    
1    2413441.40059559    125.672764218725    7451.09087105129    -95.7466562327404    6236.64526780444    -4.52471644817595    -127.442494117149    115.837761498973    -165.807089803488    6236.64526780444    2396.45939927101    5.21167685702075    0    
1    2413445.6405956    125.265844433326    7451.5876745435    -96.2063103836006    6205.79679816873    -4.32897502840494    -127.243624309112    115.567117744256    -165.806121280233    6205.79679816873    2399.11132793507    5.23145470970323    0    
1    2413449.9205956    124.853114080457    7452.09020938492    -96.667428634976    6175.09087876875    -4.1313001283474    -127.042965258846    115.289046778455    -165.86298583001    6175.09087876875    2411.82188526339    5.25126502788687    0    
1    2413454.14059561    124.444238709174    7452.58632302951    -97.1202835275988    6143.94536214506    -3.93631366199099    -126.845199517112    115.007673338987    -165.92875565705    6143.94536214506    2418.60095255585    5.27151696443853    0    
1    2413458.38059561    124.03150083951    7453.08369392357    -97.573210863751    6113.23348789305    -3.74032308740546    -126.646571705101    114.740269588801    -165.932580705417    6113.23348789305    2366.04803149494    5.29161310521624    0    
1    2413462.60059561    123.618806272916    7453.57770603135    -98.0226274342922    6082.37308280066    -3.54518010781346    -126.448950560737    114.467210301008    -165.940343109225    6082.37308280066    2377.78052119322    5.31191152325132    0    
1    2413466.84059562    123.202252107184    7454.07577635707    -98.4731426545491    6051.6552847263    -3.34903776588685    -126.250457784239    114.191775610204    -165.962611583803    6051.6552847263    2370.96876966419    5.33220771164017    0    
1    2413471.10059562    122.781819785763    7454.57509709383    -98.9225971260134    6020.78893097185    -3.15189772626268    -126.051089075289    113.920723372566    -166.002021532466    6020.78893097185    2407.373594856    5.3527329494944    0    
1    2413475.36059563    122.359481257571    7455.07617374963    -99.3703816745472    5989.62836423279    -2.9546878700865    -125.851775688856    113.626230761207    -166.046643762959    5989.62836423279    2421.88626240471    5.37360845166049    0    
1    2413479.58059563    121.939234858181    7455.56799984909    -99.8092111772833    5958.75603041314    -2.7592636192996    -125.654383188954    113.337833893751    -166.098438558583    5958.75603041314    2430.03048792343    5.39444750900602    0    
1    2413483.84059563    121.513118736343    7456.06645754521    -100.250559691435    5927.88072338648    -2.56192293387484    -125.455164323145    113.088927048017    -166.13166865103    5927.88072338648    2424.06601682805    5.41544381159604    0    
1    2413488.10059564    121.085123155689    7456.56500149448    -100.690578649925    5897.00244320618    -2.36452073469937    -125.255985194821    112.821714213572    -166.114130448935    5897.00244320618    2462.285527284    5.43661792515609    0    
